id_filme,titulo,ano,data_lancamento,generos,duracao,pais,idioma,orcamento,receita,receita_eua,nota_imdb,num_avaliacoes,direcao,roteiro,producao,elenco,descricao,num_criticas_publico,num_criticas_critica
tt0092699,Broadcast News,1987,1988-04-01,"Comedy, Drama, Romance",133,USA,"English, Spanish, French, German",20000000,67331309,51249404,7.2,26257,James L. Brooks,James L. Brooks,Amercent Films,"William Hurt, Albert Brooks, Holly Hunter, Robert Prosky, Lois Chiles, Joan Cusack, Peter Hackes, Christian Clemenson, Jack Nicholson, Robert Katims, Ed Wheeler, Stephen Mendillo, Kimber Shoop, Dwayne Markee, Gennie James","Take two rival television reporters: one handsome, one talented, both male. Add one Producer, female. Mix well, and watch the sparks fly.",142,62
tt0037931,"Murder, He Says",1945,1945-06-23,"Comedy, Crime, Mystery",91,USA,English,NA,NA,NA,7.1,1639,George Marshall,"Lou Breslow, Jack Moffitt",Paramount Pictures,"Fred MacMurray, Helen Walker, Marjorie Main, Jean Heather, Porter Hall, Peter Whitney, Mabel Paige, Barbara Pepper","A pollster stumbles on a family of murderous hillbillies, and joins in their search for hidden treasure.",35,10
tt0183505,"Me, Myself & Irene",2000,2000-09-08,Comedy,116,USA,"English, German",51000000,149270999,90570999,6.6,219069,"Bobby Farrelly, Peter Farrelly","Peter Farrelly, Mike Cerrone",Twentieth Century Fox,"Jim Carrey, Renée Zellweger, Anthony Anderson, Mongo Brownlee, Jerod Mixon, Chris Cooper, Michael Bowman, Richard Jenkins, Robert Forster, Mike Cerrone, Rob Moran, Daniel Greene, Tony Cox, Andrew Phillips, Jeremy Maleek Leggett",A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.,502,161
tt0033945,Never Give a Sucker an Even Break,1941,1947-05-02,"Comedy, Musical",71,USA,English,NA,NA,NA,7.2,2108,Edward F. Cline,"John T. Neville, Prescott Chaplin",Universal Pictures,"W.C. Fields, Gloria Jean, Leon Errol, Billy Lenhart, Kenneth Brown, Margaret Dumont, Susan Miller, Franklin Pangborn, Mona Barrie, Charles Lang, Anne Nagel, Nell O'Day, Irving Bacon, Jody Gilbert, Minerva Urecal","A filmmaker attempts to sell a surreal script he has written, which comes to life as he pitches it.",35,18
tt0372122,Adam & Steve,2005,2007-05-17,"Comedy, Drama, Music",99,USA,English,NA,309404,309404,5.9,2953,Craig Chester,Craig Chester,Funny Boy Films,"Malcolm Gets, Cary Curran, Craig Chester, Parker Posey, Noah Segan, Sally Kirkland, Jackie Beat, Mario Diaz, Lisa Frederickson, Sandy Martin, Michael Panes, Jennifer Echols, Jack Guzman, Chris Kattan, Maxine Prescott",Follows two New York city couples -- one heterosexual and one gay who explore the peaks and the valleys of their respective relationships.,48,15
tt3703836,Henry Gamble's Birthday Party,2015,2016-01-08,Drama,87,USA,English,NA,NA,NA,6.1,2364,Stephen Cone,Stephen Cone,Chicago Media Project,"Cole Doman, Joe Keery, Elizabeth Laidlaw, Pat Healy, Nina Ganet, Daniel Kyri, Jack Ball, Travis A. Knight, Kelly O'Sullivan, Melanie Neilan, Grace Melon, Spencer Curnutt, Mia Hulen, Zoe Tyson, Francis Guinan",Preacher's kid Henry Gamble is turning 17 today. Bring your swimsuit.,26,14
tt0093640,No Way Out,1987,1987-12-11,"Action, Crime, Drama",114,USA,"English, Russian",15000000,35509515,35509515,7.1,34513,Roger Donaldson,"Kenneth Fearing, Robert Garland",Orion Pictures,"Kevin Costner, Gene Hackman, Sean Young, Will Patton, Howard Duff, George Dzundza, Jason Bernard, Iman, Fred Thompson, Leon Russom, Dennis Burkley, Marshall Bell, Chris D., Michael Shillo, Nicholas Worth",A coverup and witchhunt occur after a politician accidentally kills his mistress.,125,72
tt0494652,"Welcome Home, Roscoe Jenkins",2008,2008-02-08,"Comedy, Romance",104,USA,English,35000000,43655418,42436517,5.5,13315,Malcolm D. Lee,Malcolm D. Lee,Universal Pictures,"Martin Lawrence, James Earl Jones, Margaret Avery, Joy Bryant, Cedric the Entertainer, Nicole Ari Parker, Michael Clarke Duncan, Mike Epps, Mo'Nique, Damani Roberts, Brooke Lyons, Liz Mikel, Carol Sutton, Deetta West, Louis C.K.","Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",45,74
tt0094006,Some Kind of Wonderful,1987,1988-01-13,"Drama, Romance",95,USA,English,NA,18553948,18553948,7.1,27065,Howard Deutch,John Hughes,Hughes Entertainment,"Eric Stoltz, Mary Stuart Masterson, Lea Thompson, Craig Sheffer, John Ashton, Elias Koteas, Molly Hagan, Maddie Corman, Jane Elliot, Candace Cameron Bure, Chynna Phillips, Scott Coffey, Carmine Caridi, Lee Garlington, Laura Leigh Hughes","When Keith goes out with Amanda, the girl of his dreams, Amanda's ex-boyfriend plans to get back at Keith. Meanwhile, Keith's best friend, tomboy Watts, realizes she has feelings for Keith.",145,55
tt1142798,The Family That Preys,2008,2008-09-12,Drama,111,USA,English,NA,37105289,37105289,5.7,6703,Tyler Perry,Tyler Perry,Louisiana Producers Film Source,"Alfre Woodard, Sanaa Lathan, Rockmond Dunbar, KaDee Strickland, Cole Hauser, Taraji P. Henson, Robin Givens, Tyler Perry, Kathy Bates, Sebastian Siegel, Santana Pruitt, Kaira Akita, Ron Clinton Smith, Jeffrey Alan Chase, Johnell J. Easter",Two families from different walks of life learn to work together.,52,29
